Tumor_Sample_Barcode	frac	sample	min_alt
TCGA-12-0691-01A-01W-0348-08	0.999939646327479	Tumor	Min depth = 5
TCGA-12-0692-01A-01D-1492-08	0.999879292654958	Tumor	Min depth = 5
TCGA-12-0707-01A-01W-0348-08	0.98322167903917	Tumor	Min depth = 5
TCGA-12-0773-01A-01W-0348-08	0.999939646327479	Tumor	Min depth = 5
TCGA-12-0775-01A-01W-0348-08	0.999939646327479	Tumor	Min depth = 5
TCGA-12-0778-01A-01W-0348-08	0.999939646327479	Tumor	Min depth = 5
TCGA-12-0818-01A-01W-0424-08	0.999939646327479	Tumor	Min depth = 5
TCGA-12-0819-01A-01W-0424-08	0.999939646327479	Tumor	Min depth = 5
TCGA-12-0820-01A-01W-0424-08	0.999939646327479	Tumor	Min depth = 5
TCGA-12-0821-01A-01D-1492-08	0.999939646327479	Tumor	Min depth = 5
TCGA-12-0822-01A-01W-0424-08	0.999939646327479	Tumor	Min depth = 5
TCGA-12-0826-01A-01W-0424-08	0.999939646327479	Tumor	Min depth = 5
TCGA-12-0827-01A-01W-0424-08	0.999939646327479	Tumor	Min depth = 5
TCGA-12-0828-01A-01W-0424-08	0.999939646327479	Tumor	Min depth = 5
TCGA-12-0829-01A-01W-0424-08	0.999939646327479	Tumor	Min depth = 5
TCGA-12-1088-01A-01W-0611-08	0.989981290361518	Tumor	Min depth = 5
TCGA-12-1089-01A-01W-0611-08	0.999517170619832	Tumor	Min depth = 5
TCGA-12-1092-01B-01W-0611-08	0.963063552417165	Tumor	Min depth = 5
TCGA-12-1093-01A-01W-0611-08	0.998913633894623	Tumor	Min depth = 5
TCGA-12-1597-01B-01D-1495-08	0.921359164705172	Tumor	Min depth = 5
TCGA-12-1598-01A-01W-0643-08	0.843321866135554	Tumor	Min depth = 5
TCGA-12-1599-01A-01W-0643-08	0.360070010260124	Tumor	Min depth = 5
TCGA-12-1600-01A-01W-0643-08	0.54342446737884	Tumor	Min depth = 5
TCGA-12-1602-01A-01W-0643-08	0.84302009777295	Tumor	Min depth = 5
TCGA-12-3644-01A-01W-0922-08	0.99939646327479	Tumor	Min depth = 5
TCGA-12-3646-01A-01W-0922-08	0.999879292654958	Tumor	Min depth = 5
TCGA-12-3648-01A-01W-0922-08	0.978091616874887	Tumor	Min depth = 5
TCGA-12-3649-01A-01D-1495-08	0.838312511316314	Tumor	Min depth = 5
TCGA-12-3650-01A-01D-1495-08	0.683867463335144	Tumor	Min depth = 5
TCGA-12-3651-01A-01W-0922-08	0.999939646327479	Tumor	Min depth = 5
TCGA-12-3652-01A-01D-1495-08	0.886052266280403	Tumor	Min depth = 5
TCGA-12-3653-01A-01D-1495-08	0.16687790452049	Tumor	Min depth = 5
TCGA-12-5295-01A-01D-1486-08	0.0280644577222524	Tumor	Min depth = 5
TCGA-12-5299-01A-02D-1486-08	0.0080270384452894	Tumor	Min depth = 5
TCGA-12-5301-01A-01D-1486-08	0.00766491641016356	Tumor	Min depth = 5
TCGA-13-0714-01A-01W-0371-08	0.543786589413966	Tumor	Min depth = 5
TCGA-13-0717-01A-01W-0371-08	0.434606795823526	Tumor	Min depth = 5
TCGA-13-0726-01A-01W-0371-08	0.937654656285835	Tumor	Min depth = 5
TCGA-13-0751-01A-01D-0446-08	0.99565453557849	Tumor	Min depth = 5
TCGA-13-0755-01A-01W-0371-08	0.366165731184743	Tumor	Min depth = 5
TCGA-13-0757-01A-01D-0356-01	0.541855271893295	Tumor	Min depth = 5
TCGA-13-0760-01A-01W-0371-08	0.17864687066208	Tumor	Min depth = 5
TCGA-13-0764-01A-03W-0371-08	0.999939646327479	Tumor	Min depth = 5
TCGA-13-0765-01A-01W-0372-09	0.996559840666305	Tumor	Min depth = 5
TCGA-13-0768-01A-01W-0371-08	0.999939646327479	Tumor	Min depth = 5
TCGA-13-0791-01A-01W-0371-08	0.0611986239362665	Tumor	Min depth = 5
TCGA-13-0794-01A-01W-0371-08	0.999939646327479	Tumor	Min depth = 5
TCGA-13-0795-01A-01W-0371-08	0.479087452471483	Tumor	Min depth = 5
TCGA-13-0800-01A-01W-0371-08	0.437262357414449	Tumor	Min depth = 5
TCGA-13-0804-01A-01W-0372-09	0.999879292654958	Tumor	Min depth = 5
TCGA-13-0805-01A-01W-0371-08	0.999939646327479	Tumor	Min depth = 5
TCGA-13-0807-01B-02W-0420-08	0.974349689178587	Tumor	Min depth = 5
TCGA-13-0883-01A-02W-0420-08	0.999939646327479	Tumor	Min depth = 5
TCGA-13-0884-01B-01W-0494-09	0.999879292654958	Tumor	Min depth = 5
TCGA-13-0885-01A-02W-0420-08	0.948820085702215	Tumor	Min depth = 5
TCGA-13-0886-01A-01W-0420-08	0.999939646327479	Tumor	Min depth = 5
TCGA-13-0887-01A-01W-0420-08	0.79033134166214	Tumor	Min depth = 5
TCGA-13-0888-01A-01W-0420-08	0.999939646327479	Tumor	Min depth = 5
TCGA-13-0889-01A-01W-0420-08	0.597259943267548	Tumor	Min depth = 5
TCGA-13-0890-01A-01W-0420-08	0.989800229343956	Tumor	Min depth = 5
TCGA-13-0891-01A-01W-0420-08	0.999939646327479	Tumor	Min depth = 5
TCGA-13-0893-01B-01W-0494-09	0.998792926549581	Tumor	Min depth = 5
TCGA-13-0894-01B-01W-0492-08	0.759611322348965	Tumor	Min depth = 5
TCGA-13-0897-01A-01W-0420-08	0.639869636067355	Tumor	Min depth = 5
TCGA-13-0899-01A-01W-0420-08	0.999939646327479	Tumor	Min depth = 5
TCGA-13-0903-01A-01W-0420-08	0.927213470939707	Tumor	Min depth = 5
TCGA-13-0904-01A-02W-0420-08	0.999939646327479	Tumor	Min depth = 5
TCGA-13-0905-01B-01W-0492-08	0.999939646327479	Tumor	Min depth = 5
TCGA-13-0910-01A-01W-0420-08	0.658398213531293	Tumor	Min depth = 5
TCGA-13-0911-01A-01W-0420-08	0.999879292654958	Tumor	Min depth = 5
TCGA-13-0912-01A-01W-0420-08	0.906391453919971	Tumor	Min depth = 5
TCGA-13-0913-01A-01W-0420-08	0.999939646327479	Tumor	Min depth = 5
