Tumor_Sample_Barcode	purity_facets	purity_impact
P-0004051-T01-IM5	NA	0.3
P-0004072-T01-IM5	0.297833507222165	NA
P-0004081-T01-IM5	0.284227234677587	0.3
P-0004083-T01-IM5	0.393630226093964	0.3
P-0004140-T01-IM5	0.611994629755185	0.5
P-0004140-T02-IM5	0.3	0.1
P-0004140-T03-IM5	0.466792027952803	0.5
P-0004159-T01-IM5	0.3	0.1
P-0004172-T01-IM5	0.328991129605094	0.1
P-0004220-T01-IM5	NA	0.2
P-0004249-T01-IM5	0.729288906826696	0.4
P-0004251-T01-IM5	NA	0.3
P-0004322-T01-IM5	NA	0.2
P-0004323-T01-IM5	NA	0.2
P-0004350-T01-IM5	0.341895899570161	0.3
P-0004362-T01-IM5	0.377510411069896	0.3
P-0004363-T01-IM5	0.244884740949919	0.1
P-0004369-T01-IM5	0.581366880533249	0.4
P-0004401-T01-IM5	0.616639032570063	0.4
P-0004402-T01-IM5	0.332133671791172	0.4
P-0004403-T01-IM5	0.3	0.1
P-0004431-T01-IM5	NA	0.5
P-0004441-T01-IM5	0.54599264009504	0.3
P-0004454-T01-IM5	0.420318769244433	NA
P-0004486-T01-IM5	NA	0.6
P-0004494-T01-IM5	0.334470683321239	0.4
P-0004502-T01-IM5	0.235165753163048	0.4
P-0004511-T01-IM5	0.359614445226717	0.3
P-0004549-T01-IM5	NA	0.3
P-0004566-T01-IM5	NA	0.5
P-0004602-T01-IM5	NA	0.3
P-0004608-T01-IM5	NA	0.2
P-0004624-T01-IM5	NA	0.2
P-0004626-T01-IM5	NA	0.1
P-0004629-T01-IM5	0.397256005672212	0.3
P-0004652-T01-IM5	NA	0.2
P-0004666-T01-IM5	0.52915982546175	0.4
P-0004673-T01-IM5	NA	0.2
P-0004679-T01-IM5	NA	0.2
P-0004690-T01-IM5	0.426128323897365	0.3
P-0004692-T01-IM5	NA	0.3
P-0004697-T01-IM5	0.75325608921589	0.4
P-0004698-T01-IM5	NA	0.4
P-0004716-T02-IM5	0.670178320687549	0.4
P-0004736-T01-IM5	NA	0.2
P-0004738-T01-IM5	NA	0.4
P-0004754-T01-IM5	0.283097119277607	0.4
P-0004775-T01-IM5	NA	0.4
P-0004781-T01-IM5	NA	0.4
P-0004783-T01-IM5	0.336905010218103	0.4
P-0004786-T01-IM5	0.488945007303917	0.3
P-0004792-T01-IM5	0.325527880863254	0.4
P-0004795-T01-IM5	0.186307145553032	0.3
P-0004798-T01-IM5	NA	0.6
P-0004803-T01-IM5	0.477022909040496	0.6
P-0004823-T01-IM5	0.58046021795693	0.4
P-0004834-T01-IM5	NA	0.3
P-0004844-T01-IM5	NA	0.4
P-0004845-T01-IM5	0.515251867354291	0.4
P-0004862-T01-IM5	0.482463947011238	0.6
P-0004865-T01-IM5	NA	0.5
P-0004872-T01-IM5	NA	0.2
P-0004886-T01-IM5	0.498514274572698	0.4
P-0004897-T01-IM5	NA	NA
P-0004904-T01-IM5	0.421173978872974	0.6
P-0004928-T01-IM5	0.570723768453348	0.3
P-0004954-T01-IM5	0.322907233729981	0.6
P-0004957-T01-IM5	NA	0.6
P-0004960-T01-IM5	0.288966982483874	0.2
P-0004967-T01-IM5	0.45234599277967	0.3
P-0004968-T01-IM5	0.414805999743063	0.6
P-0004977-T01-IM5	0.340087084673229	0.4
P-0005003-T01-IM5	NA	0.2
P-0005011-T01-IM5	0.223225675771091	0.1
P-0005016-T01-IM5	0.253801488500952	0.3
P-0005025-T01-IM5	NA	0.2
P-0005029-T01-IM5	0.773582597505701	0.6
P-0005091-T01-IM5	0.732624541218976	0.3
P-0005102-T01-IM5	0.255624500140087	0.2
P-0005103-T01-IM5	0.559458242038155	0.6
P-0005124-T01-IM5	NA	0.5
P-0005132-T01-IM5	0.410994536452607	0.4
P-0005137-T02-IM5	NA	0.5
P-0005151-T01-IM5	NA	0.3
P-0005163-T01-IM5	0.339690250962002	0.1
P-0005164-T01-IM5	NA	0.3
P-0005172-T01-IM5	0.279439232552581	0.5
P-0005189-T01-IM5	0.28480726219833	0.3
P-0005197-T01-IM5	NA	0.5
P-0005200-T01-IM5	NA	NA
P-0005207-T01-IM5	NA	0.6
P-0005210-T01-IM5	NA	0.3
P-0005230-T01-IM5	NA	0.3
P-0005237-T01-IM5	NA	NA
P-0005240-T01-IM5	NA	NA
P-0005247-T01-IM5	NA	0.4
P-0005298-T01-IM5	0.542308541043839	0.4
P-0005307-T01-IM5	0.348021963235925	0.2
P-0005311-T01-IM5	0.327547904603287	0.2
P-0005311-T02-IM5	0.240941319483593	0.3
P-0005326-T01-IM5	0.3	0.2
P-0005327-T01-IM5	0.345742254978983	0.2
P-0005343-T01-IM5	NA	0.2
P-0005381-T01-IM5	0.366251105469674	0.2
P-0005384-T01-IM5	NA	0.1
P-0005430-T01-IM5	0.387037731330629	0.2
P-0005439-T01-IM5	NA	0.3
P-0005443-T01-IM5	0.25138732239665	0.2
P-0005446-T01-IM5	0.646892489259093	0.2
P-0005455-T01-IM5	0.401577626747301	0.2
P-0005487-T01-IM5	0.573763626997877	0.2
P-0005502-T01-IM5	0.44577790810397	0.2
P-0005522-T01-IM5	0.385427358075916	0.4
P-0005528-T01-IM5	0.503816449576368	0.2
P-0005529-T01-IM5	0.554294777478753	0.3
P-0005548-T01-IM5	0.332785364287291	0.3
P-0005560-T01-IM5	NA	0.3
P-0005569-T01-IM5	NA	0.3
P-0005589-T01-IM5	0.62027025881142	0.3
P-0005591-T01-IM5	NA	0.2
P-0005622-T03-IM5	NA	0.3
P-0005623-T02-IM5	0.330309689669834	0.5
P-0005634-T01-IM5	0.400316759832171	0.3
P-0005670-T01-IM5	NA	0.3
P-0005715-T01-IM5	0.467988467494923	0.7
P-0005730-T02-IM5	0.482576276082003	0.6
P-0005739-T02-IM5	NA	0.1
P-0005742-T01-IM5	0.323450642660322	0.3
P-0005755-T01-IM5	NA	0.2
P-0005762-T01-IM5	0.861992421269069	NA
P-0005776-T02-IM5	NA	0.5
P-0005788-T01-IM5	0.495430676420763	0.2
P-0005801-T01-IM5	NA	0.5
P-0005823-T01-IM5	0.553331649317773	0.7
P-0005824-T01-IM5	0.336676838385604	0.6
P-0005829-T01-IM5	0.375790479017324	0.5
P-0005833-T01-IM5	0.513606604619805	0.6
P-0005853-T01-IM5	NA	0.7
P-0005858-T01-IM5	NA	0.3
P-0005865-T01-IM5	NA	0.2
P-0005888-T01-IM5	0.798645921422799	0.5
P-0005908-T01-IM5	NA	0.7
P-0005910-T01-IM5	0.552563806459555	0.4
P-0005938-T01-IM5	0.410838769300712	0.1
P-0005941-T01-IM5	0.714978271178485	0.6
P-0005949-T01-IM5	0.353681091041315	0.4
P-0005961-T01-IM5	0.247666553223705	0.3
P-0005987-T01-IM5	0.430295132817459	0.5
P-0005996-T01-IM5	0.302919730839715	0.6
P-0005998-T01-IM5	0.3	0.2
P-0006000-T02-IM5	0.445937148026203	0.2
P-0006023-T02-IM5	0.383187730480567	0.4
P-0006050-T01-IM5	NA	0.4
P-0006075-T01-IM5	0.451411457471498	0.4
P-0006093-T01-IM5	NA	0.3
P-0006110-T01-IM5	0.419198998595285	0.5
P-0006118-T02-IM5	0.532192123557018	0.4
P-0006135-T01-IM5	NA	0.7
P-0006136-T01-IM5	NA	0.2
P-0006138-T01-IM5	0.237860548143628	0.2
P-0006170-T01-IM5	NA	0.2
P-0006181-T01-IM5	NA	0.3
P-0006183-T01-IM5	0.549777941652326	0.3
P-0006184-T01-IM5	0.499728593812714	0.2
P-0006202-T01-IM5	0.745238068370776	0.6
P-0006207-T01-IM5	NA	0.4
P-0006213-T01-IM5	0.459002752061674	0.2
P-0006219-T01-IM5	NA	0.2
P-0006225-T01-IM5	0.467554938661504	0.5
P-0006230-T01-IM5	NA	0.2
P-0006261-T01-IM5	NA	NA
P-0006271-T01-IM5	0.294968727853343	0.1
P-0006272-T01-IM5	NA	0.1
P-0006275-T01-IM5	NA	0.5
P-0006287-T01-IM5	NA	0.2
P-0006306-T01-IM5	0.439860644107523	0.2
P-0006316-T01-IM5	0.759343693735674	0.6
P-0006317-T01-IM5	0.442470522467744	0.2
P-0006329-T01-IM5	0.3	0.2
P-0006345-T01-IM5	NA	0.2
P-0006359-T01-IM5	0.620156049484137	0.7
P-0006365-T01-IM5	0.571141216211676	0.6
P-0006390-T01-IM5	0.624063395671461	0.3
P-0006394-T01-IM5	0.64249448175597	0.4
P-0006405-T01-IM5	0.3	0.2
P-0006434-T01-IM5	NA	0.5
P-0006444-T02-IM5	0.3068513162209	0.2
P-0006460-T01-IM5	0.216001806210438	0.2
P-0006468-T01-IM5	0.692628722963612	0.6
P-0006468-T02-IM5	0.742701656844798	0.6
P-0006469-T01-IM5	0.571439839869161	0.6
P-0006512-T01-IM5	NA	0.1
P-0006548-T01-IM5	NA	0.2
P-0006559-T01-IM5	0.20064443618394	0.2
P-0006564-T01-IM5	0.237895845615022	0.1
P-0006575-T01-IM5	NA	0.7
P-0006581-T01-IM5	NA	0.4
P-0006587-T01-IM5	0.36876342492395	0.2
P-0006589-T01-IM5	0.20829437754591	0.1
P-0006592-T01-IM5	NA	NA
P-0006608-T01-IM5	0.863216290687208	0.3
P-0006612-T01-IM5	NA	0.6
P-0006616-T01-IM5	NA	0.4
P-0006636-T01-IM5	NA	0.1
P-0006646-T01-IM5	NA	NA
P-0006647-T01-IM5	0.621355625825782	0.4
P-0006649-T01-IM5	NA	0.4
P-0006657-T01-IM5	NA	0.6
P-0006658-T01-IM5	NA	NA
P-0006659-T01-IM5	NA	NA
P-0006669-T01-IM5	0.439415508029485	0.4
P-0006680-T01-IM5	0.472420951337107	0.5
P-0006681-T01-IM5	NA	NA
P-0006683-T01-IM5	NA	NA
P-0006685-T01-IM5	NA	NA
P-0006686-T01-IM5	NA	0.1
P-0006687-T01-IM5	NA	0.2
P-0006693-T01-IM5	NA	0.3
P-0006701-T01-IM5	0.468890389753241	0.2
P-0006704-T01-IM5	NA	0.2
P-0006706-T01-IM5	NA	0.4
P-0006707-T01-IM5	0.432097711980346	0.6
P-0006708-T01-IM5	NA	0.3
P-0006711-T01-IM5	NA	0.3
P-0006715-T01-IM5	NA	0.3
P-0006717-T01-IM5	NA	0.5
P-0006721-T01-IM5	0.476627125425408	0.2
P-0006726-T01-IM5	NA	0.3
P-0006729-T01-IM5	NA	0.2
P-0006730-T01-IM5	NA	0.3
P-0006735-T01-IM5	0.673418000386082	0.8
P-0006737-T01-IM5	NA	0.2
P-0006740-T01-IM5	0.412307842326055	0.5
P-0006743-T01-IM5	NA	0.5
P-0006744-T01-IM5	NA	0.7
P-0006750-T01-IM5	0.265333410421182	0.1
P-0006753-T01-IM5	NA	0.1
P-0006758-T01-IM5	0.29780422868094	0.5
P-0006759-T01-IM5	NA	0.3
P-0006761-T01-IM5	NA	0.3
P-0006763-T01-IM5	NA	0.5
P-0006764-T01-IM5	NA	0.2
P-0006766-T01-IM5	NA	0.4
P-0006770-T01-IM5	0.70478224617376	0.5
P-0006778-T01-IM5	NA	0.2
P-0006794-T01-IM5	NA	0.2
P-0006813-T01-IM5	0.485411388990825	0.2
P-0006816-T01-IM5	0.374035248652043	0.3
P-0006819-T01-IM5	NA	0.1
P-0006819-T02-IM5	NA	0.3
P-0006821-T01-IM5	NA	0.3
P-0006822-T01-IM5	NA	0.5
P-0006825-T01-IM5	0.200869072809891	0.1
P-0006835-T01-IM5	NA	0.2
P-0006853-T01-IM5	NA	0.2
P-0006860-T01-IM5	0.602744961484062	0.4
P-0006861-T01-IM5	NA	0.3
P-0006863-T01-IM5	0.439229614521199	0.3
P-0006864-T01-IM5	NA	0.3
P-0006865-T01-IM5	0.425831847327052	0.3
P-0006867-T01-IM5	NA	0.1
P-0006872-T01-IM5	0.454350213782191	0.2
P-0006887-T01-IM5	0.470349404881733	0.3
P-0006888-T01-IM5	NA	0.5
P-0006889-T01-IM5	0.596170409659806	0.3
P-0006890-T01-IM5	0.335541966784436	0.1
P-0006906-T01-IM5	NA	0.4
P-0006909-T01-IM5	0.454222472292529	0.4
P-0006933-T01-IM5	NA	0.3
P-0006936-T01-IM5	NA	0.1
P-0006960-T01-IM5	0.295453232347598	0.3
P-0006967-T01-IM5	0.715043784753339	0.3
P-0006968-T01-IM5	0.755455269037249	0.6
P-0006978-T01-IM5	NA	0.4
P-0006981-T01-IM5	NA	0.1
P-0006983-T01-IM5	NA	0.2
P-0006999-T02-IM5	NA	0.2
P-0007012-T01-IM5	NA	0.1
P-0007035-T01-IM5	NA	0.3
P-0007036-T01-IM5	0.588468459958182	0.3
P-0007039-T01-IM5	NA	0.4
P-0007055-T01-IM5	0.437266540348222	0.5
P-0007066-T01-IM5	NA	0.3
P-0007069-T01-IM5	0.539235566179389	0.2
P-0007070-T01-IM5	NA	0.3
P-0007079-T01-IM5	NA	NA
P-0007080-T02-IM5	0.555801452966319	NA
P-0007081-T02-IM5	NA	0.4
P-0007085-T02-IM5	NA	NA
P-0007090-T02-IM5	0.180555130601014	NA
P-0007092-T01-IM5	NA	0.35
P-0007097-T01-IM5	0.396353131095136	0.2
P-0007112-T01-IM5	0.188106044182462	0.15
P-0007115-T01-IM5	NA	0.35
P-0007120-T01-IM5	NA	0.6
P-0007120-T02-IM5	NA	0.6
P-0007126-T01-IM5	0.728797388932095	0.4
P-0007126-T02-IM5	0.288936853719859	0.3
P-0007128-T01-IM5	NA	0.3
P-0007132-T01-IM5	NA	0.2
P-0007133-T01-IM5	NA	0.2
P-0007135-T01-IM5	0.604832979351949	0.2
P-0007136-T01-IM5	0.241810477145838	0.1
P-0007140-T01-IM5	NA	0.2
P-0007144-T01-IM5	NA	0.3
P-0007147-T01-IM5	NA	0.3
P-0007162-T01-IM5	0.3	0.2
P-0007168-T01-IM5	0.659469516563328	0.3
P-0007169-T01-IM5	0.394715358718341	0.2
P-0007171-T01-IM5	NA	0.1
P-0007175-T01-IM5	0.304921008722091	0.3
P-0007177-T01-IM5	NA	NA
P-0007180-T01-IM5	NA	NA
P-0007181-T01-IM5	NA	0.4
P-0007185-T01-IM5	NA	0.2
P-0007185-T02-IM5	NA	0.1
P-0007203-T01-IM5	NA	0.1
P-0007207-T01-IM5	0.251401594797038	0.15
P-0007214-T01-IM5	NA	0.25
P-0007216-T01-IM5	NA	0.4
P-0007218-T01-IM5	NA	0.4
P-0007222-T01-IM5	NA	0.1
P-0007226-T01-IM5	NA	0.8
P-0007272-T01-IM5	NA	0.1
P-0007279-T01-IM5	NA	0.2
P-0007287-T01-IM5	NA	0.3
P-0007294-T01-IM5	0.411235802800247	NA
P-0007296-T01-IM5	0.3	NA
P-0007303-T01-IM5	NA	0.3
